idx_epi : 0
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185640,L,"(9, 4)","(7, 1)",65,64,-0.01,False,ID_GENERAL_MOVE
220528_185640,D,"(9, 4)","(8, 1)",64,73,-0.01,False,ID_GENERAL_MOVE
220528_185640,U,"(9, 4)","(7, 1)",73,64,-0.01,False,ID_GENERAL_MOVE
220528_185640,D,"(9, 4)","(8, 1)",64,73,-0.01,False,ID_GENERAL_MOVE
220528_185640,D,"(9, 4)","(9, 1)",73,82,-100,True,ID_OBSTACLE

idx_epi : 31
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185640,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185640,D,"(9, 4)","(9, 4)",76,85,-100,True,ID_RETURN

idx_epi : 32
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185640,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185640,D,"(9, 4)","(9, 4)",76,85,-100,True,ID_RETURN

idx_epi : 33
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185640,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185640,L,"(9, 4)","(8, 3)",76,75,-0.01,False,ID_GENERAL_MOVE
220528_185640,L,"(9, 4)","(8, 2)",75,74,-0.01,False,ID_GENERAL_MOVE
220528_185640,R,"(9, 4)","(8, 3)",74,75,-0.01,False,ID_GENERAL_MOVE
220528_185640,U,"(9, 4)","(7, 3)",75,66,-0.01,False,ID_GENERAL_MOVE
220528_185640,D,"(9, 4)","(8, 3)",66,75,-0.01,False,ID_GENERAL_MOVE
220528_185640,D,"(9, 4)","(9, 3)",75,84,-100,True,ID_OBSTACLE

idx_epi : 34
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185640,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185640,D,"(9, 4)","(9, 4)",76,85,-100,True,ID_RETURN

idx_epi : 35
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185640,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185640,D,"(9, 4)","(9, 4)",76,85,-100,True,ID_RETURN

idx_epi : 36
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185640,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185640,L,"(9, 4)","(8, 3)",76,75,-0.01,False,ID_GENERAL_MOVE
220528_185640,U,"(9, 4)","(7, 3)",75,66,-0.01,False,ID_GENERAL_MOVE
220528_185640,R,"(9, 4)","(7, 4)",66,67,-0.01,False,ID_GENERAL_MOVE
220528_185640,R,"(9, 4)","(7, 5)",67,68,-0.01,False,ID_GENERAL_MOVE
220528_185640,U,"(9, 4)","(6, 5)",68,59,-0.01,False,ID_GENERAL_MOVE
220528_185640,U,"(9, 4)","(5, 5)",59,50,-0.01,False,ID_GENERAL_MOVE
220528_185640,U,"(9, 4)","(4, 5)",50,41,-0.01,False,ID_GENERAL_MOVE
220528_185640,R,"(9, 4)","(4, 6)",41,42,-100,True,ID_OBSTACLE

idx_epi : 37
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185640,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185640,L,"(9, 4)","(8, 3)",76,75,-0.01,False,ID_GENERAL_MOVE
220528_185640,R,"(9, 4)","(8, 4)",75,76,-0.01,False,ID_GENERAL_MOVE
220528_185640,R,"(9, 4)","(8, 5)",76,77,-0.01,False,ID_GENERAL_MOVE
220528_185640,L,"(9, 4)","(8, 4)",77,76,-0.01,False,ID_GENERAL_MOVE
220528_185640,R,"(9, 4)","(8, 5)",76,77,-0.01,False,ID_GENERAL_MOVE
220528_185640,R,"(9, 4)","(8, 6)",77,78,-0.01,False,ID_GENERAL_MOVE
220528_185640,D,"(9, 4)","(9, 6)",78,87,-100,True,ID_OBSTACLE

idx_epi : 38
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185640,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185640,D,"(9, 4)","(9, 4)",76,85,-100,True,ID_RETURN

idx_epi : 39
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185640,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185640,D,"(9, 4)","(9, 4)",76,85,-100,True,ID_RETURN

idx_epi : 40
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185640,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185640,L,"(9, 4)","(8, 3)",76,75,-0.01,False,ID_GENERAL_MOVE
220528_185640,L,"(9, 4)","(8, 2)",75,74,-0.01,False,ID_GENERAL_MOVE
220528_185640,D,"(9, 4)","(9, 2)",74,83,-100,True,ID_OBSTACLE

idx_epi : 41
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185640,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185640,R,"(9, 4)","(8, 5)",76,77,-0.01,False,ID_GENERAL_MOVE
220528_185640,D,"(9, 4)","(9, 5)",77,86,-100,True,ID_OBSTACLE

idx_epi : 42
time,action,p_cur,p_new,state_cur,state_new,reward,done,result_step
220528_185640,U,"(9, 4)","(8, 4)",85,76,-0.01,False,ID_GENERAL_MOVE
220528_185640,R,"(9, 4)","(8, 5)",76,77,-0.01,False,ID_GENERAL_MOVE
220528_185640,L,"(9, 4)","(8, 4)",77,76,-0.01,False,ID_GENERAL_MOVE
220528_185640,R,"(9, 4)","(8, 5)",76,77,-0.01,False,ID_GENERAL_MOVE
220528_185640,L,"(9, 4)","(8, 4)",77,76,-0.01,False,ID_GENERAL_MOVE
220528_185640,R,"(9, 4)","(8, 5)",76,77,-0.01,False,ID_GENERAL_MOVE
220528_185640,U,"(9, 4)","(7, 5)",77,68,-0.01,False,ID_GENERAL_MOVE
220528_185640,D,"(9, 4)","(8, 5)",68,77,-0.01,False,ID_GENERAL_MOVE
220528_185640,U,"(9, 4)","(7, 5)",77,68,-0.01,False,ID_GENERAL_MOVE
220528_185640,L,"(9, 4)","(7, 4)",68,67,-0.01,False,ID_GENERAL_MOVE
220528_185640,L,"(9, 4)","(7, 3)",67,66,-0.01,False,ID_GENERAL_MOVE
220528_185640,U,"(9, 4)","(6, 3)",66,57,-0.01,False,ID_GENERAL_MOVE
